ticker,fiscal_quarter_end,announcement_date,eps_beat,price_1m_before,price_3m_before,price_change_1m_pct,price_change_3m_pct,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count,elo_before,elo_decay,elo_momentum,elo_vol_4q,total_revenue_yoy_growth_lag1,total_revenue_qoq_growth_lag1,total_revenue_ttm_yoy_growth_lag1,actual_eps_yoy_growth_lag1,actual_eps_qoq_growth_lag1,ebitda_yoy_growth_lag1,operating_income_yoy_growth_lag1,gross_margin_yoy_change_lag1,operating_margin_yoy_change_lag1,stock_price_pre,stock_price_post,atm_strike_pre,atm_call_mid_pre,atm_put_mid_pre,straddle_price_pre,straddle_pct_pre,iv_call_pre,iv_put_pre,iv_avg_pre,iv_avg_post,iv_crush_pct,iv_term_slope,atm_open_interest_pre,atm_volume_pre,chain_pc_volume_ratio,dte_pre,actual_move_pct,crush_profitable,crush_pnl_pct,spy_join_date,spy_spot,spy_spy_close,spy_atm_iv_30d,spy_atm_iv_60d,spy_atm_iv_90d,spy_term_slope_30_60,spy_term_slope_30_90,spy_backwardation_flag,spy_iv_25d_put,spy_iv_25d_call,spy_risk_reversal_25d,spy_butterfly_25d,spy_iv_rank_30d,spy_iv_rank_252d,spy_iv_percentile_252d,spy_rv_5d,spy_rv_21d,spy_vrp_30d,spy_vol_expansion,spy_pc_ratio,spy_pc_ratio_z_20d,spy_voi_ratio,spy_voi_ratio_z_20d,spy_spy_ret_5d,spy_spy_ret_21d,spy_spy_dd_from_60d_high,spy_spy_above_200d_ma,spy_vix_close,spy_vix3m_close,spy_vix_minus_atm_iv_30d
TSLA,2022-03-31,2022-04-20,0.0,921.16,996.27,6.08,-1.91,2.26,2.62,1.56,25.0,2.26,2.24,2.24,2.08,1.0,0.0,4.0,2.0,17795700000.0,19642800000.0,14331000000.0,25.0,24933.6,26748.0,-1560.53,1074.54,70.67,291.24,71.85,214.81,37.1,127.23,235.36,4.26,6.1,1030.0,1010.0,1030.0,29.625,31.625,61.25,5.946601941747573,0.82461,0.82461,0.82461,0.619745,24.84386558494318,-0.28291999999999995,2157,19679,0.622114077148787,3.0,1.9417475728155331,1,4.0048543689320395,2022-04-19,443.0,421.1296997070313,0.1831675,0.195365,0.1957828571428571,0.0121975,0.0126153571428571,0,0.234385,0.1417,0.092685,0.0048749999999999,0.2343850096092249,0.3874923124231243,0.714975845410628,0.1827817917712718,0.1688019972940544,0.0143655027059456,1.0828177077363872,1.74,1.6256577631824884,0.9357309999879336,0.4614099123396926,0.0116385982130984,0.0011698810160269,-0.0357706489392104,0,21.3700008392334,25.059999465942383,3.053250839233396
MSFT,2022-03-31,2022-04-26,1.0,303.68,296.71,-11.02,-8.93,2.18,2.29,2.14,29.0,2.18,2.19,2.19,2.17,1.0,0.0,2.0,2.0,49033300000.0,49719000000.0,48593000000.0,30.0,-404.0,1246.88,-619.73,1149.23,20.09,0.0,20.31,154.0,-48.79,22.46,24.31,0.16,1.46,280.0,282.5,280.0,8.775,7.949999999999999,16.725,5.9732142857142865,0.7173,0.70754,0.71242,0.46852499999999997,34.23472109149098,-0.33170000000000005,1286,9483,0.7025781177894229,4.0,0.8928571428571397,1,5.080357142857147,2022-04-25,429.0,405.48779296875,0.234385,0.234385,0.2331314285714286,0.0,-0.0012535714285714,1,0.27829,0.19048,0.0878099999999999,0.0,0.6666793212102806,0.6499846248462485,0.8815165876777251,0.2745135785236783,0.182733440422859,0.051651559577141,1.5022624095974613,1.47,0.4013002355881615,1.8973625291860636,1.508274749100963,-0.0215994401323323,-0.048791189532899,-0.0715847593999514,0,27.020000457763672,29.06999969482422,3.5815004577636707
GOOGL,2022-03-31,2022-04-26,0.0,2833.46,2584.66,-16.25,-8.19,25.96,31.66,22.94,34.0,25.73,25.83,25.85,25.08,0.0,0.0,6.0,1.0,68096400000.0,70717500000.0,65585000000.0,32.0,-358411.28,-308138.96,-34824.53,21775.6,41.15,295.65,42.77,36.61,9.29,67.2,90.94,3.36,7.96,2465.0,2290.0,2465.0,90.85,93.1,183.95,7.462474645030426,0.90266,0.89291,0.897785,0.50267,44.00998011773421,-0.47804,0,116,0.4464231585328888,4.0,7.099391480730222,1,0.36308316430020415,2022-04-25,429.0,405.48779296875,0.234385,0.234385,0.2331314285714286,0.0,-0.0012535714285714,1,0.27829,0.19048,0.0878099999999999,0.0,0.6666793212102806,0.6499846248462485,0.8815165876777251,0.2745135785236783,0.182733440422859,0.051651559577141,1.5022624095974613,1.47,0.4013002355881615,1.8973625291860636,1.508274749100963,-0.0215994401323323,-0.048791189532899,-0.0715847593999514,0,27.020000457763672,29.06999969482422,3.5815004577636707
AAPL,2022-03-31,2022-04-28,1.0,178.96,170.33,-8.56,-3.93,1.43,1.56,1.34,29.0,1.43,1.43,1.43,1.33,0.0,0.0,2.0,2.0,93892800000.0,100444000000.0,90042000000.0,26.0,-48502.4,-46959.04,-567.47,1246.42,11.22,0.0,22.89,173.33,-60.95,21.01,23.72,3.98,3.38,157.5,157.5,157.5,3.875,4.825,8.7,5.523809523809523,0.93193,0.94168,0.936805,0.4295,54.15267851900876,-0.526815,3987,10507,0.6782429112316475,2.0,0.0,1,5.523809523809523,2022-04-27,418.0,394.8515625,0.26853,0.2602715384615384,0.253895,-0.0082584615384615,-0.014635,1,0.31731,0.22951,0.0877999999999999,0.0048799999999999,0.8771803632440208,0.8249794997949979,0.9577464788732394,0.2626282409258077,0.200590341250268,0.0679396587497319,1.3092766046902409,1.42,0.1572719994997339,0.8550979534710629,-0.0207525075725452,-0.0617032978508622,-0.0847536686085018,-0.0959377452134681,0,31.600000381469727,32.20000076293945,4.747000381469729
AMZN,2022-03-31,2022-04-28,0.0,3386.3,2879.56,-14.6,0.43,8.36,11.6,5.96,40.0,8.44,8.5,8.5,10.31,3.0,0.0,4.0,2.0,116297000000.0,120000000000.0,113266000000.0,41.0,-141232.8,-117614.24,-12312.53,9682.38,21.7,323.98,24.07,-58.57,-6.45,23.36,8.65,2.46,-0.63,2765.0,2480.0,2765.0,92.30000000000001,94.3,186.60000000000002,6.74864376130199,1.1368,1.14656,1.14168,0.517305,54.68914231658608,-0.66828,7,177,1.0016236929271936,2.0,10.307414104882461,0,-3.5587703435804716,2022-04-27,418.0,394.8515625,0.26853,0.2602715384615384,0.253895,-0.0082584615384615,-0.014635,1,0.31731,0.22951,0.0877999999999999,0.0048799999999999,0.8771803632440208,0.8249794997949979,0.9577464788732394,0.2626282409258077,0.200590341250268,0.0679396587497319,1.3092766046902409,1.42,0.1572719994997339,0.8550979534710629,-0.0207525075725452,-0.0617032978508622,-0.0847536686085018,-0.0959377452134681,0,31.600000381469727,32.20000076293945,4.747000381469729
XOM,2022-03-31,2022-04-29,0.0,83.78,75.28,1.75,13.24,2.12,2.3,1.64,17.0,2.11,2.09,1.82,1.68,3.0,0.0,8.0,0.0,92732500000.0,143403000000.0,78866000000.0,7.0,2029.6,1636.64,59.2,177.09,54.95,284.87,51.59,6733.33,29.75,188.71,181.56,18.9,25.17,87.5,86.0,87.5,1.27,1.48,2.75,3.1428571428571432,0.77583,0.72706,0.751445,0.444135,40.89587394952392,-0.38048000000000004,1246,2863,0.6668985507246377,1.0,1.7142857142857126,1,1.4285714285714306,2022-04-28,426.0,404.8253173828125,0.24658,0.2415123076923077,0.2392617142857143,-0.0050676923076923,-0.0073182857142856,1,0.3051125,0.1880425,0.11707,-2.4999999999886224e-06,0.7192950908110052,0.7124846248462484,0.9018691588785048,0.3713793709812932,0.2177637776653228,0.0288162223346771,1.7054230734004778,1.46,0.3969324718856656,0.592882560688126,-0.4666511687261594,-0.0233985627184049,-0.0731015804761342,-0.0731015804761342,0,29.989999771118164,31.149999618530273,5.331999771118166
WMT,2022-04-30,2022-05-17,0.0,157.08,133.53,-16.38,-1.63,1.48,1.67,1.41,29.0,1.47,1.47,1.47,1.65,1.0,0.0,5.0,0.0,138883000000.0,144122000000.0,135150000000.0,25.0,-32675.23,-27878.56,-2384.41,278.42,,,3.15,-37.93,-62.76,,,,,148.0,120.0,148.0,3.325,3.075,6.4,4.324324324324325,0.52218,0.51243,0.517305,0.48804000000000003,5.657204163887839,-0.23901500000000003,1742,3950,1.080089516749423,4.0,18.918918918918916,0,-14.594594594594591,2022-05-16,400.0,378.5946960449219,0.25877,0.253895,0.2497121428571428,-0.004875,-0.0090578571428571,1,0.28804,0.21975,0.06829,-0.004875,0.718728979147314,0.7749589995899959,0.8893805309734514,0.2290793699893799,0.3178126754332579,-0.0590426754332579,0.7207999796643969,1.27,-0.6945827100251061,0.7949943337190742,-0.5751152518812772,0.0048221910206778,-0.086114429152601,-0.1331598831989077,0,27.469999313354492,29.510000228881836,1.5929993133544933
NVDA,2022-04-30,2022-05-25,0.0,199.02,237.48,-14.71,-28.52,1.29,1.33,1.23,31.0,1.29,1.29,1.29,1.29,0.0,0.0,1.0,0.0,8116880000.0,8326850000.0,8006300000.0,32.0,-59303.68,-48080.16,-4880.96,3290.07,,,65.1,-100.0,-151.28,,,,,162.5,177.5,162.5,8.3,9.15,17.450000000000003,10.73846153846154,1.49777,1.47826,1.4880149999999999,0.7173,51.794840777814734,-0.7853499999999999,667,6355,0.8068627753236057,3.0,9.23076923076922,1,1.50769230769232,2022-05-24,394.0,372.7277221679687,0.26853,0.2625345714285714,0.2582476785714286,-0.0059954285714285,-0.0102823214285713,1,0.302675,0.23926,0.063415,0.0024375,0.7307707470924499,0.8249794997949979,0.918103448275862,0.3436405155790348,0.3426964256902685,-0.0741664256902684,1.0027548868852798,1.55,1.852675273087256,0.5545816378159814,-0.9541093937577684,-0.0353400707780802,-0.0807917559266845,-0.1465930569171247,0,29.450000762939453,30.739999771118164,2.597000762939455
JPM,2022-06-30,2022-07-14,0.0,114.06,126.12,-5.31,-14.37,2.91,3.18,2.5,20.0,2.95,2.92,2.75,2.73,0.0,0.0,4.0,2.0,31951300000.0,33384000000.0,31093000000.0,14.0,16538.4,15460.0,67.2,848.46,-3.84,-74.58,-3.12,-42.7,-21.02,-39.88,-43.14,-17.85,-21.51,112.0,113.0,112.0,2.12,2.2350000000000003,4.355,3.8883928571428577,0.64901,0.66852,0.658765,0.29292,55.534978330664195,-0.30243500000000006,1330,4979,0.7491096372438207,2.0,0.8928571428571397,1,2.995535714285718,2022-07-13,379.0,360.0253601074219,0.24902,0.2453019047619047,0.24414,-0.0037180952380952,-0.0048799999999999,1,0.27829,0.21975,0.0585399999999999,0.0,0.3158008307708905,0.682925,0.8007968127490039,0.165259787284214,0.2658083908418225,-0.0167883908418225,0.621725246373268,1.76,2.9633506629200266,1.5793225206389911,1.3870921326197407,-0.0115330118072481,-0.0239444593781886,-0.145096248595428,0,26.81999969482422,28.559999465942383,1.9179996948242213
JNJ,2022-06-30,2022-07-19,1.0,169.46,183.89,1.32,-6.63,2.57,2.7,2.41,14.0,2.57,2.57,2.55,2.64,0.0,0.0,0.0,0.0,23774100000.0,24763300000.0,23199000000.0,12.0,7572.0,7002.56,115.73,308.77,4.95,-70.25,3.11,3.09,25.35,-18.59,-10.66,-0.79,-4.56,175.0,170.0,175.0,2.1950000000000003,2.94,5.135,2.934285714285714,0.34658,0.34658,0.34658,0.22951,33.778636966934044,-0.136585,538,1126,0.7101286934010405,4.0,2.857142857142858,1,0.07714285714285607,2022-07-18,383.0,362.9905395507813,0.234385,0.23926,0.234385,0.0048749999999999,0.0,0,0.26853,0.20024,0.0682899999999999,0.0,0.1579004153854454,0.60975,0.7131474103585658,0.1831497009724363,0.2342262132498832,0.0001587867501168,0.7819351149098068,1.49,1.038938059425011,0.7602817604025578,-0.3505491164268947,-0.0059339882563812,0.011603120382948,-0.1243208677344314,0,25.299999237060547,27.81999969482422,1.8614992370605457
TSLA,2022-06-30,2022-07-20,1.0,650.28,1008.78,14.18,-26.4,0.0,0.0,0.0,0.0,1.98,2.1,2.19,2.34,0.0,0.0,0.0,3.0,17092100000.0,19892000000.0,15349100000.0,20.0,22268.0,25433.12,372.27,2489.4,80.54,-65.15,73.26,245.16,25.88,268.97,506.57,7.79,13.49,735.0,815.0,735.0,25.4,24.025,49.425,6.724489795918368,0.92217,0.93193,0.92705,0.62462,32.62283587724503,-0.28779500000000013,1658,8221,0.9612066022979227,3.0,10.88435374149659,0,-4.159863945578222,2022-07-19,393.0,372.7982177734375,0.22463,0.22951,0.22951,0.0048799999999999,0.0048799999999999,0,0.25877,0.20024,0.05853,0.004875,0.0526514538490585,0.560975,0.6772908366533864,0.2505088043869988,0.2157024678987064,0.0089275321012935,1.1613627179483057,1.45,0.7023523679976547,0.8818351029417818,-0.0257251342674163,0.0300396455392992,0.0744972688650618,-0.0817963546061857,0,24.5,27.309999465942383,2.036999999999999
GOOGL,2022-06-30,2022-07-26,0.0,2359.5,2285.89,-95.55,-95.41,1.3,1.54,1.12,34.0,26.25,26.45,26.55,27.8,0.0,0.0,0.0,3.0,69987600000.0,72102000000.0,66847000000.0,31.0,-413806.48,-344433.68,-18405.33,26342.94,22.95,-73.6,40.44,-6.11,-19.61,-5.45,22.25,0.05,-0.17,107.5,113.0,107.5,3.75,3.7,7.45,6.930232558139535,0.83437,0.82461,0.82949,0.3856,53.51360474508433,-0.4097449999999999,593,1350,0.8619838837025684,4.0,5.116279069767438,1,1.8139534883720971,2022-07-25,396.0,375.93450927734375,0.20512,0.21975,0.2249785714285714,0.01463,0.0198585714285714,0,0.23926,0.19048,0.0487799999999999,0.00975,0.0,0.463425,0.6095617529880478,0.2094921865973062,0.2054833842728905,-0.0003633842728905,1.0195091313032487,1.53,1.204941350826244,0.4611363794470773,-1.197683844747053,0.0356592481517046,0.0463156015378143,-0.0740716548769223,0,23.36000061035156,25.799999237060547,2.848000610351562
AAPL,2022-06-30,2022-07-28,1.0,137.44,157.65,14.49,-0.19,1.16,1.31,1.07,29.0,1.16,1.16,1.16,1.25,2.0,0.0,8.0,0.0,82807900000.0,88405000000.0,79261900000.0,26.0,-48300.8,-47001.6,-701.87,1160.38,8.59,-21.52,14.63,8.57,85.37,6.64,9.0,1.24,0.12,157.5,162.5,157.5,2.69,3.425,6.115,3.8825396825396825,0.64901,0.65876,0.653885,0.239265,63.40870336527066,-0.326815,25618,37031,1.005881023211234,2.0,3.1746031746031855,1,0.707936507936497,2022-07-27,401.0,381.1329345703125,0.209995,0.2131321428571428,0.2204514285714285,0.0031371428571428,0.0104564285714285,0,0.24902,0.18073,0.0682899999999999,0.0048799999999999,0.0555239179954441,0.4877999999999999,0.6135458167330677,0.2433696071084582,0.200981205591232,0.0090137944087679,1.2109072905226688,1.47,0.6500647847170512,0.6744530922198612,-0.3072153207696458,0.0158826788372294,0.0320389989399443,-0.0612679105810948,0,23.239999771118164,25.309999465942383,2.2404997711181664
