ticker,announcement_date,pre_date,post_date,pre_status,post_status,pre_path,post_path
WMT,2022-05-17,2022-05-16,2022-05-18,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2022-05-16.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2022-05-18.json
NVDA,2022-05-25,2022-05-24,2022-05-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2022-05-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2022-05-26.json
JPM,2022-07-14,2022-07-13,2022-07-15,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-07-13.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-07-15.json
JNJ,2022-07-19,2022-07-18,2022-07-20,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-07-18.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-07-20.json
TSLA,2022-07-20,2022-07-19,2022-07-21,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-07-19.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-07-21.json
GOOGL,2022-07-26,2022-07-25,2022-07-27,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-07-25.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-07-27.json
AAPL,2022-07-28,2022-07-27,2022-07-29,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2022-07-27.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2022-07-29.json
AMZN,2022-07-28,2022-07-27,2022-07-29,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-07-27.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-07-29.json
XOM,2022-07-29,2022-07-28,2022-08-01,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-07-28.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-08-01.json
WMT,2022-08-16,2022-08-15,2022-08-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2022-08-15.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2022-08-17.json
NVDA,2022-08-24,2022-08-23,2022-08-25,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2022-08-23.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2022-08-25.json
JPM,2022-10-14,2022-10-13,2022-10-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-10-13.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2022-10-17.json
JNJ,2022-10-18,2022-10-17,2022-10-19,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-10-17.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2022-10-19.json
TSLA,2022-10-19,2022-10-18,2022-10-20,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-10-18.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2022-10-20.json
GOOGL,2022-10-25,2022-10-24,2022-10-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-10-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2022-10-26.json
MSFT,2022-10-25,2022-10-24,2022-10-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2022-10-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2022-10-26.json
AMZN,2022-10-27,2022-10-26,2022-10-28,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-10-26.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2022-10-28.json
XOM,2022-10-28,2022-10-27,2022-10-31,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-10-27.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2022-10-31.json
WMT,2022-11-15,2022-11-14,2022-11-16,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2022-11-14.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2022-11-16.json
NVDA,2022-11-16,2022-11-15,2022-11-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2022-11-15.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2022-11-17.json
JPM,2023-01-13,2023-01-12,2023-01-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-01-12.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-01-17.json
JNJ,2023-01-24,2023-01-23,2023-01-25,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-01-23.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-01-25.json
MSFT,2023-01-24,2023-01-23,2023-01-25,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2023-01-23.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2023-01-25.json
TSLA,2023-01-25,2023-01-24,2023-01-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-01-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-01-26.json
XOM,2023-01-31,2023-01-30,2023-02-01,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-01-30.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-02-01.json
AAPL,2023-02-02,2023-02-01,2023-02-03,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2023-02-01.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2023-02-03.json
AMZN,2023-02-02,2023-02-01,2023-02-03,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-02-01.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-02-03.json
GOOGL,2023-02-02,2023-02-01,2023-02-03,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-02-01.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-02-03.json
JPM,2023-04-14,2023-04-13,2023-04-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-04-13.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-04-17.json
JNJ,2023-04-18,2023-04-17,2023-04-19,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-04-17.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-04-19.json
TSLA,2023-04-19,2023-04-18,2023-04-20,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-04-18.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-04-20.json
GOOGL,2023-04-25,2023-04-24,2023-04-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-04-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-04-26.json
MSFT,2023-04-25,2023-04-24,2023-04-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2023-04-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2023-04-26.json
AMZN,2023-04-27,2023-04-26,2023-04-28,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-04-26.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-04-28.json
XOM,2023-04-28,2023-04-27,2023-05-01,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-04-27.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-05-01.json
AAPL,2023-05-04,2023-05-03,2023-05-05,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2023-05-03.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2023-05-05.json
WMT,2023-05-18,2023-05-17,2023-05-19,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2023-05-17.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2023-05-19.json
NVDA,2023-05-24,2023-05-23,2023-05-25,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2023-05-23.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2023-05-25.json
JPM,2023-07-14,2023-07-13,2023-07-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-07-13.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-07-17.json
TSLA,2023-07-19,2023-07-18,2023-07-20,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-07-18.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-07-20.json
JNJ,2023-07-20,2023-07-19,2023-07-21,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-07-19.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-07-21.json
GOOGL,2023-07-25,2023-07-24,2023-07-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-07-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-07-26.json
XOM,2023-07-28,2023-07-27,2023-07-31,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-07-27.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-07-31.json
AAPL,2023-08-03,2023-08-02,2023-08-04,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2023-08-02.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2023-08-04.json
AMZN,2023-08-03,2023-08-02,2023-08-04,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-08-02.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-08-04.json
WMT,2023-08-17,2023-08-16,2023-08-18,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2023-08-16.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2023-08-18.json
NVDA,2023-08-23,2023-08-22,2023-08-24,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2023-08-22.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2023-08-24.json
JPM,2023-10-13,2023-10-12,2023-10-16,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-10-12.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2023-10-16.json
JNJ,2023-10-17,2023-10-16,2023-10-18,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-10-16.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2023-10-18.json
TSLA,2023-10-18,2023-10-17,2023-10-19,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-10-17.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2023-10-19.json
GOOGL,2023-10-24,2023-10-23,2023-10-25,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-10-23.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2023-10-25.json
MSFT,2023-10-24,2023-10-23,2023-10-25,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2023-10-23.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2023-10-25.json
AMZN,2023-10-26,2023-10-25,2023-10-27,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-10-25.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2023-10-27.json
XOM,2023-10-27,2023-10-26,2023-10-30,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-10-26.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2023-10-30.json
WMT,2023-11-16,2023-11-15,2023-11-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2023-11-15.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/WMT/2023-11-17.json
NVDA,2023-11-21,2023-11-20,2023-11-22,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2023-11-20.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/NVDA/2023-11-22.json
JPM,2024-01-12,2024-01-11,2024-01-16,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2024-01-11.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2024-01-16.json
JNJ,2024-01-23,2024-01-22,2024-01-24,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2024-01-22.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2024-01-24.json
TSLA,2024-01-24,2024-01-23,2024-01-25,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2024-01-23.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2024-01-25.json
GOOGL,2024-01-30,2024-01-29,2024-01-31,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2024-01-29.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2024-01-31.json
MSFT,2024-01-30,2024-01-29,2024-01-31,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2024-01-29.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2024-01-31.json
AAPL,2024-02-01,2024-01-31,2024-02-02,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2024-01-31.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2024-02-02.json
AMZN,2024-02-01,2024-01-31,2024-02-02,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2024-01-31.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2024-02-02.json
XOM,2024-02-02,2024-02-01,2024-02-05,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2024-02-01.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2024-02-05.json
JPM,2024-04-12,2024-04-11,2024-04-15,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2024-04-11.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JPM/2024-04-15.json
JNJ,2024-04-16,2024-04-15,2024-04-17,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2024-04-15.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/JNJ/2024-04-17.json
TSLA,2024-04-23,2024-04-22,2024-04-24,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2024-04-22.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/TSLA/2024-04-24.json
GOOGL,2024-04-25,2024-04-24,2024-04-26,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2024-04-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/GOOGL/2024-04-26.json
MSFT,2024-04-25,2024-04-24,2024-04-26,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2024-04-24.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/MSFT/2024-04-26.json
XOM,2024-04-26,2024-04-25,2024-04-29,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2024-04-25.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/XOM/2024-04-29.json
AMZN,2024-04-30,2024-04-29,2024-05-01,fetched,fetched,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2024-04-29.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AMZN/2024-05-01.json
AAPL,2024-05-02,2024-05-01,2024-05-03,cached,cached,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2024-05-01.json,/Users/ibrahimfiratsoysal/Downloads/Option_Volatility_Crush-main/unified_strategy/cache/options/AAPL/2024-05-03.json
